Match Number,Round Number,Date,Location,Home Team,Away Team,Result
317,1,23/11/25 23:00,"Rocket Arena, Cleveland, OH",Cleveland Cavaliers,LA Clippers,
318,1,23/11/25 23:00,"Scotiabank Arena, Toronto, ON",Toronto Raptors,Brooklyn Nets,
319,1,24/11/25 00:00,"Paycom Center, Oklahoma City, OK",Oklahoma City Thunder,Portland Trail Blazers,
320,1,24/11/25 01:00,"PHX Arena, Phoenix, AZ",Phoenix Suns,San Antonio Spurs,
321,1,24/11/25 01:00,"Delta Center, Salt Lake City, UT",Utah Jazz,Los Angeles Lakers,
322,1,25/11/25 00:00,"Gainbridge Fieldhouse, Indianapolis, IN",Indiana Pacers,Detroit Pistons,
323,1,25/11/25 00:00,"Scotiabank Arena, Toronto, ON",Toronto Raptors,Cleveland Cavaliers,
324,1,25/11/25 00:30,"Barclays Center, Brooklyn, NY",Brooklyn Nets,New York Knicks,
325,1,25/11/25 00:30,"Kaseya Center, Miami, FL",Miami Heat,Dallas Mavericks,
326,1,25/11/25 01:00,"FedExForum, Memphis, TN",Memphis Grizzlies,Denver Nuggets,
327,1,25/11/25 01:00,"Fiserv Forum, Milwaukee, WI",Milwaukee Bucks,Portland Trail Blazers,
328,1,25/11/25 01:00,"Smoothie King Center, New Orleans, LA",New Orleans Pelicans,Chicago Bulls,
329,1,25/11/25 02:30,"PHX Arena, Phoenix, AZ",Phoenix Suns,Houston Rockets,
330,1,25/11/25 03:00,"Chase Center, San Francisco, CA",Golden State Warriors,Utah Jazz,
331,1,25/11/25 03:00,"Golden 1 Center, Sacramento, CA",Sacramento Kings,Minnesota Timberwolves,
332,1,26/11/25 00:00,"Capital One Arena, Washington, DC",Washington Wizards,Atlanta Hawks,
333,1,26/11/25 01:00,"Xfinity Mobile Arena, Philadelphia, PA",Philadelphia 76ers,Orlando Magic,
334,1,26/11/25 04:00,"Crypto.com Arena, Los Angeles, CA",Los Angeles Lakers,LA Clippers,
335,1,26/11/25 22:00,"TD Garden, Boston, MA",Boston Celtics,Detroit Pistons,
336,1,27/11/25 00:00,"Spectrum Center, Charlotte, NC",Charlotte Hornets,New York Knicks,
337,1,27/11/25 00:30,"Kaseya Center, Miami, FL",Miami Heat,Milwaukee Bucks,
338,1,27/11/25 00:30,"Scotiabank Arena, Toronto, ON",Toronto Raptors,Indiana Pacers,
339,1,27/11/25 00:30,"Paycom Center, Oklahoma City, OK",Oklahoma City Thunder,Minnesota Timberwolves,
340,1,27/11/25 01:00,"Smoothie King Center, New Orleans, LA",New Orleans Pelicans,Memphis Grizzlies,
341,1,27/11/25 03:00,"Chase Center, San Francisco, CA",Golden State Warriors,Houston Rockets,
342,1,27/11/25 03:00,"Moda Center, Portland, OR",Portland Trail Blazers,San Antonio Spurs,
343,1,27/11/25 03:00,"Golden 1 Center, Sacramento, CA",Sacramento Kings,Phoenix Suns,
344,1,29/11/25 00:30,"State Farm Arena, Atlanta, GA",Atlanta Hawks,Cleveland Cavaliers,
345,1,29/11/25 00:30,"Barclays Center, Brooklyn, NY",Brooklyn Nets,Philadelphia 76ers,
346,1,29/11/25 00:30,"Spectrum Center, Charlotte, NC",Charlotte Hornets,Chicago Bulls,
347,1,29/11/25 00:30,"Little Caesars Arena, Detroit, MI",Detroit Pistons,Orlando Magic,
348,1,29/11/25 00:30,"Gainbridge Fieldhouse, Indianapolis, IN",Indiana Pacers,Washington Wizards,
349,1,29/11/25 00:30,"Madison Square Garden, New York, NY",New York Knicks,Milwaukee Bucks,
350,1,29/11/25 02:30,"Paycom Center, Oklahoma City, OK",Oklahoma City Thunder,Phoenix Suns,
351,1,29/11/25 02:30,"Ball Arena, Denver, CO",Denver Nuggets,San Antonio Spurs,
352,1,29/11/25 02:30,"Delta Center, Salt Lake City, UT",Utah Jazz,Sacramento Kings,
353,1,29/11/25 03:00,"Crypto.com Arena, Los Angeles, CA",Los Angeles Lakers,Dallas Mavericks,
354,1,29/11/25 03:00,"Intuit Dome, Inglewood, CA",LA Clippers,Memphis Grizzlies,
355,1,29/11/25 22:00,"Target Center, Minneapolis, MN",Minnesota Timberwolves,Boston Celtics,
356,1,29/11/25 23:00,"Spectrum Center, Charlotte, NC",Charlotte Hornets,Toronto Raptors,
357,1,30/11/25 00:30,"Gainbridge Fieldhouse, Indianapolis, IN",Indiana Pacers,Chicago Bulls,
358,1,30/11/25 01:00,"Kaseya Center, Miami, FL",Miami Heat,Detroit Pistons,
359,1,30/11/25 01:00,"Fiserv Forum, Milwaukee, WI",Milwaukee Bucks,Brooklyn Nets,
360,1,30/11/25 01:30,"Chase Center, San Francisco, CA",Golden State Warriors,New Orleans Pelicans,
361,1,30/11/25 02:00,"PHX Arena, Phoenix, AZ",Phoenix Suns,Denver Nuggets,
362,1,30/11/25 03:00,"Intuit Dome, Inglewood, CA",LA Clippers,Dallas Mavericks,
363,1,30/11/25 20:00,"Delta Center, Salt Lake City, UT",Utah Jazz,Houston Rockets,
364,1,30/11/25 23:00,"Rocket Arena, Cleveland, OH",Cleveland Cavaliers,Boston Celtics,
365,1,30/11/25 23:00,"Madison Square Garden, New York, NY",New York Knicks,Toronto Raptors,
366,1,30/11/25 23:00,"Xfinity Mobile Arena, Philadelphia, PA",Philadelphia 76ers,Atlanta Hawks,
367,1,30/11/25 23:00,"Moda Center, Portland, OR",Portland Trail Blazers,Oklahoma City Thunder,
368,1,01/12/25 00:00,"Target Center, Minneapolis, MN",Minnesota Timberwolves,San Antonio Spurs,
369,1,01/12/25 02:00,"Golden 1 Center, Sacramento, CA",Sacramento Kings,Memphis Grizzlies,
370,1,01/12/25 02:30,"Crypto.com Arena, Los Angeles, CA",Los Angeles Lakers,New Orleans Pelicans,
371,1,02/12/25 00:00,"Little Caesars Arena, Detroit, MI",Detroit Pistons,Atlanta Hawks,
372,1,02/12/25 00:00,"Gainbridge Fieldhouse, Indianapolis, IN",Indiana Pacers,Cleveland Cavaliers,
373,1,02/12/25 00:00,"Capital One Arena, Washington, DC",Washington Wizards,Milwaukee Bucks,
374,1,02/12/25 00:30,"Barclays Center, Brooklyn, NY",Brooklyn Nets,Charlotte Hornets,
375,1,02/12/25 00:30,"Kaseya Center, Miami, FL",Miami Heat,LA Clippers,
